"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55134","","","","0"
"2006-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67914","","","","0"
"2006-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70354","","","","0"
"2006-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58247","","","","0"
"2007-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47873","","","","0"
"2007-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61653","","","","0"
"2007-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71665","","","","0"
"2007-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55572","","","","0"
"2008-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53147","","","","0"
"2008-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69248","","","","0"
"2008-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71320","","","","0"
"2008-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53547","","","","0"
"2009-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50789","","","","0"
"2009-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69657","","","","0"
"2009-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75401","","","","0"
"2009-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56371","","","","0"
"2010-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58056","","","","0"
"2010-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","80807","","","","0"
"2010-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","84305","","","","0"
"2010-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57571","","","","0"
"2011-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","49571","","","","0"
"2011-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67696","","","","0"
"2011-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71864","","","","0"
"2011-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","59604","","","","0"
"2012-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55566","","","","0"
"2012-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","73009","","","","0"
"2012-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","66907","","","","0"
"2012-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62343","","","","0"
"2013-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58255","","","","0"
"2013-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75610","","","","0"
"2013-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65409","","","","0"
"2013-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","59772","","","","0"
"2014-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","64461","","","","0"
"2014-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78294","","","","0"
"2014-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65546","","","","0"
"2014-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52007","","","","0"
"2015-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51129","","","","0"
"2015-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72093","","","","0"
"2015-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78903","","","","0"
"2015-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69742","","","","0"
"2016-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","86246","","","","0"
"2016-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","88297","","","","0"
"2016-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","68231","","","","0"
"2016-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53611","","","","0"
"2017-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72837","","","","0"
"2017-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78015","","","","0"
"2017-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70134","","","","0"
"2017-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65551","","","","0"
"2018-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","80007","","","","0"
"2018-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","87677","","","","0"
"2018-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","82292","","","","0"
"2018-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71078","","","","0"
"2019-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65953","","","","0"
"2019-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","94280","","","","0"
"2019-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","103713","","","","0"
"2019-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","77228","","","","0"
"2020-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69140","","","","0"
"2020-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34072","","","","0"
"2020-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40119","","","","0"
"2020-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41263","","","","0"
"2021-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70492","","","","0"
"2021-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","74440","","","","0"
"2021-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","122916","","","","0"
"2021-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","138198","","","","0"
